id,bathroom,locality,property_size,rent_amount,type_bhk
959,2,Manikonda,2400,19000,2
960,2,Kothapet,1200,8500,2
962,3,Kondapur,1600,30000,3
968,2,Kondapur,1000,15000,2
971,2,Kukatpally,1225,22000,3
973,2,Kapra,1200,9000,2
974,2,Bandlaguda Jagir,1200,19000,3
976,2,Kondapur,1830,22500,3
980,3,Peeranchuruvu,1471,16000,3
983,3,Peeranchuruvu,1568,25000,3
989,2,Rampally,910,7000,2
990,3,Kavadiguda,1350,20000,3
995,2,Kondapur,1100,16000,2
1002,2,Sainikpuri,2000,23000,3
1005,2,Hakimpet,1200,14000,2
1009,1, Kukatpally,500,6500,1
1011,1,Jagathgiri Gutta,600,8000,1
1018,2,Nagole,1200,15000,2
1021,2,Kondapur,2400,28000,3
1025,1,Mallapur,850,5000,1
1026,2,Kukatpally,1000,12000,2
1028,2, Kukatpally,770,7500,2
1029,2, Kukatpally,770,7500,2
1030,2,Kukatpally,945,13000,2
1035,2,Pragathi Nagar,1000,15000,2
1036,3,Patancheru,1200,7000,2
1037,2,Pragathi Nagar,1000,13000,2
1042,2,Mehdipatnam,1100,13000,2
1043,2,Tarnaka,1040,10000,2
1052,3,Gachibowli,2400,23000,3
1057,2,Balapur,900,8000,2
1058,3,Nagole,2040,26000,3
1061,2,Chanda Nagar,1000,16000,2
1063,2,Vanasthalipuram,900,8500,2
1066,2,Miyapur,1000,16000,2
1067,1,Sainikpuri,550,8500,1
1074,2,Manikonda Jagir,1280,15000,3
1075,3,Manikonda,1867,18000,3
1078,2,Bachupally,1050,8500,2
1081,3,Nanakaramguda,1175,25000,3
1087,2,Chanda Nagar,1170,16000,2
1088,3,Peerzadiguda,1425,11000,3
1089,3,Nizampet,1800,15000,3
1096,2,Kondapur,1260,20000,2
1100,2,Kondapur,1150,19000,2
1101,2,Borabanda,1150,16000,2
1107,3,Kondapur,1895,30000,3
1114,1,Kismatpur,900,7000,1
1115,1,Sanath Nagar,1100,10000,2
1121,2,Kukatpally,1100,13000,2
1122,3,Kondapur,1700,30000,3
1123,1,Banjara Hills,800,8500,1
1125,3,Puppalaguda,1870,20000,3
1132,2,Qutub Shahi Tombs,1000,15000,2
1135,3,Pocharam,1450,16000,3
1140,2,West Marredpally,1250,19500,2
1148,3,Kondapur,1600,30000,3
1150,2,Nagaram,1210,15000,3
1152,2,Nizampet,1390,15000,3
1153,1,Amberpet,500,6000,1
1154,2,Whisper Valley,1150,13000,2
1155,2,Whisper Valley,1150,13000,2
1161,3,Jubilee Hills,1500,28000,3
1167,2,Miyapur,1032,10000,2
1168,1,Begumpet,1200,12000,2
1169,2,Adikmet,1050,12000,2
1170,2,Kukatpally,1000,16000,2
1175,3,Kukatpally,1900,30000,3
1176,3,Kukatpally,1900,30000,3
1180,2,Chanda Nagar,1000,15000,2
1181,2,Gachibowli,1300,19000,3
1183,2,Pragathi Nagar,1000,18000,2
1185,2,West Marredpally,1400,27000,3
1189,2,Kondapur,1200,15000,2
1193,2,Gudimalkapur,928,13000,2
1194,2,Kukatpally,1100,15000,2
1196,2,Banjara Hills,1200,16000,2
1198,2,Banjara Hills,1200,16000,2
1202,3,Kukatpally,1550,19500,3
1206,3,Manikonda,1384,30000,3
1208,2,Beeramguda,1100,9500,2
1210,2,Kondapur,1050,20000,2
1213,3,Manikonda,1750,22000,3
1214,3,Kondapur,1450,26500,3
1216,2,Kondapur,1500,20000,3
1217,2,Nizampet,1250,12000,2
1220,3,Toli Chowki,1545,28000,3
1222,2,Serilingampally,1350,11500,2
1223,3,Nizampet,1495,15000,3
1226,2,Bandlaguda Jagir,900,15000,2
1229,2,Nizampet,1700,15000,3
1235,2,Hydershakote,1271,11000,2
1240,3,Pragathi Nagar,1600,16000,3
1243,2,Ramachandra Puram,780,10000,2
1247,2,Upparpally,1000,12000,2
1249,2,Nizampet,1105,12000,2
1252,2,Patancheruvu,900,8500,2
1255,3,Manikonda Jagir,1400,18000,3
1256,2,Madhapur,1050,20000,2
1261,2,Manikonda,1240,14000,2
1263,2,Kukatpally,900,13000,2
1267,4,Kukatpally,1483,18000,3
1273,2,Shamshabad,1500,20000,2
1276,3,Manikonda,1400,18000,3
1277,2,Gachibowli,970,16000,3
1278,1,Uppal,500,6000,1
1279,2,Sanath Nagar,950,10000,2
1284,2,Nizampet,1210,16000,2
1286,2,Nizampet,1120,10500,2
